Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Ezequiel Barco,ATL,2019,M,1425000,1425000,9/13/19
Saphir Taïder,MTL,2019,M,1400000.04,1400000.04,9/13/19
Aleksandar Katai,CHI,2019,M,1260000,1380333.33,9/13/19
Bradley Wright-Phillips,NYRB,2019,F,1200000,1380000,9/13/19
Ali Adnan,VAN,2019,D,1200000,1277499.9,9/13/19
Brian Fernández,POR,2019,M,1200000,1275800,9/13/19
Alejandro Bedoya,PHI,2019,M,1200000,1266250,9/13/19
Mauro Manotas,HOU,2019,F,1100049.96,1245049.96,9/13/19
Aljaz Struna,HOU,2019,D,1100000.04,1210000.04,9/13/19
Cristian Pavón,LAG,2019,F,1200000,1200000,9/13/19
Omar González,TOR,2019,D,918000,1193935.5,9/13/19
David Accam,CLB,2019,M,1010004,1137920,9/13/19
Everton Luiz,RSL,2019,D,1000000.08,1100000.08,9/13/19
Federico Higuaín,CLB,2019,M,1100000.04,1100000.04,9/13/19
Sacha Kljestan,ORL,2019,M,1025000.04,1100000.04,9/13/19
Víctor Rodríguez,SEA,2019,M,999999.96,1087499.96,9/13/19
Damir Kreilach,RSL,2019,M,968768.64,1082101.97,9/13/19
Mauricio Pereyra,ORL,2019,M,960000,1078000,9/13/19
Maximiliano Urruti,MTL,2019,F,900000,1071000,9/13/19
Jørgen Skjelvik,LAG,2019,D,999999.96,1066666.63,9/13/19
Krisztián Németh,SKC,2019,F,950000.04,1063666.71,9/13/19
Diego Rossi,LAFC,2019,M,1000000.08,1052000.08,9/13/19
Andreu Fontàs,SKC,2019,D,1050000,1050000,9/13/19
Brian Rodríguez,LAFC,2019,F,700000.08,1039800.08,9/13/19
Michael Mancienne,NER,2019,D,881676,995676,9/13/19
Fredy Montero,VAN,2019,F,768000,968000,9/13/19
Robin Lod,MIN,2019,M,849996,952496,9/13/19
Lamine Sané,ORL,2019,D,902499.96,949999.96,9/13/19
Alexander Ring,NYC,2019,M,849999.96,944999.96,9/13/19
Adama Diomande,LAFC,2019,F,849999.96,934999.96,9/13/19
